,Init Mode,Learning Rate,Batch Size,# of Epochs,Accuracy
83,zero,0.45595,256,2000,70.0
139,zero,0.41642,256,2000,70.0
194,zero,0.7853300000000001,256,1000,70.0
225,zero,0.013420000000000001,4,500,70.0
419,xavier,0.41642,256,2000,70.0
446,xavier,0.6437900000000001,256,1000,70.0
474,xavier,0.7853300000000001,256,1000,70.0
492,xavier,0.85272,64,100,70.0
505,xavier,0.013420000000000001,4,500,70.0
515,xavier,0.013420000000000001,16,2000,70.0
554,xavier,0.15482,128,1000,70.0
576,gauss,0.9147400000000001,64,100,70.0
604,gauss,0.9149,64,100,70.0
643,gauss,0.45595,256,2000,70.0
699,gauss,0.41642,256,2000,70.0
754,gauss,0.7853300000000001,256,1000,70.0
782,gauss,0.85272,256,1000,70.0
23,zero,0.9147400000000001,128,2000,69.0
51,zero,0.9149,128,2000,69.0
106,zero,0.21651,128,1000,69.0
107,zero,0.21651,128,2000,69.0
125,zero,0.41642,32,500,69.0
222,zero,0.85272,256,1000,69.0
230,zero,0.013420000000000001,8,1000,69.0
269,zero,0.15482,64,500,69.0
274,zero,0.15482,128,1000,69.0
275,zero,0.15482,128,2000,69.0
296,xavier,0.9147400000000001,64,100,69.0
303,xavier,0.9147400000000001,128,2000,69.0
324,xavier,0.9149,64,100,69.0
331,xavier,0.9149,128,2000,69.0
363,xavier,0.45595,256,2000,69.0
385,xavier,0.21651,128,500,69.0
386,xavier,0.21651,128,1000,69.0
387,xavier,0.21651,128,2000,69.0
428,xavier,0.6437900000000001,16,100,69.0
464,xavier,0.7853300000000001,64,100,69.0
502,xavier,0.85272,256,1000,69.0
546,xavier,0.15482,32,1000,69.0
555,xavier,0.15482,128,2000,69.0
583,gauss,0.9147400000000001,128,2000,69.0
611,gauss,0.9149,128,2000,69.0
666,gauss,0.21651,128,1000,69.0
667,gauss,0.21651,128,2000,69.0
680,gauss,0.41642,16,100,69.0
685,gauss,0.41642,32,500,69.0
708,gauss,0.6437900000000001,16,100,69.0
772,gauss,0.85272,64,100,69.0
785,gauss,0.013420000000000001,4,500,69.0
790,gauss,0.013420000000000001,8,1000,69.0
795,gauss,0.013420000000000001,16,2000,69.0
829,gauss,0.15482,64,500,69.0
834,gauss,0.15482,128,1000,69.0
835,gauss,0.15482,128,2000,69.0
26,zero,0.9147400000000001,256,1000,68.0
54,zero,0.9149,256,1000,68.0
74,zero,0.45595,64,1000,68.0
78,zero,0.45595,128,1000,68.0
79,zero,0.45595,128,2000,68.0
82,zero,0.45595,256,1000,68.0
89,zero,0.21651,8,500,68.0
97,zero,0.21651,32,500,68.0
103,zero,0.21651,64,2000,68.0
111,zero,0.21651,256,2000,68.0
112,zero,0.41642,4,100,68.0
130,zero,0.41642,64,1000,68.0
135,zero,0.41642,128,2000,68.0
163,zero,0.6437900000000001,128,2000,68.0
190,zero,0.7853300000000001,128,1000,68.0
191,zero,0.7853300000000001,128,2000,68.0
219,zero,0.85272,128,2000,68.0
231,zero,0.013420000000000001,8,2000,68.0
235,zero,0.013420000000000001,16,2000,68.0
260,zero,0.15482,16,100,68.0
265,zero,0.15482,32,500,68.0
266,zero,0.15482,32,1000,68.0
270,zero,0.15482,64,1000,68.0
306,xavier,0.9147400000000001,256,1000,68.0
334,xavier,0.9149,256,1000,68.0
344,xavier,0.45595,16,100,68.0
349,xavier,0.45595,32,500,68.0
354,xavier,0.45595,64,1000,68.0
359,xavier,0.45595,128,2000,68.0
378,xavier,0.21651,32,1000,68.0
382,xavier,0.21651,64,1000,68.0
383,xavier,0.21651,64,2000,68.0
400,xavier,0.41642,16,100,68.0
405,xavier,0.41642,32,500,68.0
410,xavier,0.41642,64,1000,68.0
415,xavier,0.41642,128,2000,68.0
437,xavier,0.6437900000000001,64,500,68.0
470,xavier,0.7853300000000001,128,1000,68.0
471,xavier,0.7853300000000001,128,2000,68.0
472,xavier,0.7853300000000001,256,100,68.0
499,xavier,0.85272,128,2000,68.0
506,xavier,0.013420000000000001,4,1000,68.0
509,xavier,0.013420000000000001,8,500,68.0
510,xavier,0.013420000000000001,8,1000,68.0
511,xavier,0.013420000000000001,8,2000,68.0
545,xavier,0.15482,32,500,68.0
549,xavier,0.15482,64,500,68.0
550,xavier,0.15482,64,1000,68.0
